LLM,Attack,Aggressive,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate
llama3:70b,combined attack,No,200,0,0,0.000,0.000,136,0.680,12,0.060
llama3:70b,combined attack,Yes,200,0,0,0.000,0.000,136,0.680,10,0.050
llama3.1:70b,combined attack,No,200,0,3,0.000,0.000,32,0.160,9,0.045
llama3.1:70b,combined attack,Yes,200,0,4,0.000,0.000,34,0.170,15,0.075
llama3:8b,combined attack,No,200,0,3,0.000,0.000,17,0.085,16,0.080
llama3:8b,combined attack,Yes,200,0,1,0.000,0.000,17,0.085,13,0.065
llama3.1:8b,combined attack,No,200,0,0,0.000,0.000,1,0.005,8,0.040
llama3.1:8b,combined attack,Yes,200,0,0,0.000,0.000,0,0.000,12,0.060
gemma2:27b,combined attack,No,200,0,0,0.000,0.000,58,0.290,23,0.115
gemma2:27b,combined attack,Yes,200,0,0,0.000,0.000,50,0.250,28,0.140
gemma2:9b,combined attack,No,200,0,0,0.000,0.000,32,0.160,12,0.060
gemma2:9b,combined attack,Yes,200,0,0,0.000,0.000,24,0.120,14,0.070
mixtral:8x7b,combined attack,No,200,0,2,0.000,0.000,0,0.000,13,0.065
mixtral:8x7b,combined attack,Yes,200,0,1,0.000,0.000,1,0.005,10,0.050
qwen2:7b,combined attack,No,200,0,0,0.000,0.000,11,0.055,8,0.040
qwen2:7b,combined attack,Yes,200,0,0,0.000,0.000,10,0.050,4,0.020
qwen2:72b,combined attack,No,200,0,0,0.000,0.000,2,0.010,22,0.110
qwen2:72b,combined attack,Yes,200,0,0,0.000,0.000,0,0.000,30,0.150
