LLM,Attack,Aggressive,Trigger,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate
gpt-4o-mini,naive,No,discernment,200,64,0,0.320,0.320,155,0.775,0,0.000
gpt-4o-mini,naive,Yes,discernment,200,39,0,0.195,0.195,161,0.805,0,0.000
llama3:8b,naive,No,discernment,200,16,93,0.080,0.150,12,0.060,96,0.480
llama3:8b,naive,Yes,discernment,200,4,103,0.020,0.041,12,0.060,109,0.545
llama3.1:8b,naive,No,discernment,200,35,1,0.175,0.176,4,0.020,11,0.055
llama3.1:8b,naive,Yes,discernment,200,22,0,0.110,0.110,6,0.030,21,0.105
gemma2:9b,naive,No,discernment,200,63,0,0.315,0.315,44,0.220,20,0.100
gemma2:9b,naive,Yes,discernment,200,43,0,0.215,0.215,43,0.215,17,0.085
mixtral:8x7b,naive,No,discernment,200,9,35,0.045,0.055,2,0.010,43,0.215
mixtral:8x7b,naive,Yes,discernment,200,5,48,0.025,0.033,0,0.000,54,0.270
qwen2:7b,naive,No,discernment,200,26,5,0.130,0.133,18,0.090,9,0.045
qwen2:7b,naive,Yes,discernment,200,19,8,0.095,0.099,23,0.115,11,0.055
qwen2:72b,naive,No,discernment,200,45,0,0.225,0.225,37,0.185,8,0.040
qwen2:72b,naive,Yes,discernment,200,11,0,0.055,0.055,35,0.175,5,0.025
